run,reference,prediction,count
stage6_mc,rice water weevil,alfalfa weevil,1
stage6_mc,rice yellow stem borer,rice gall midge,3
stage6_mc,sheath blight,rice gall midge,5
stage6_mc,soybean healthy,corn maize northern leaf blight,12
stage6_mc,squash powdery mildew,corn maize northern leaf blight,2
stage6_mc,squash powdery mildew leaf,bell pepper leaf spot,2
stage6_mc,strawberry healthy,corn maize northern leaf blight,1
stage6_mc,strawberry leaf scorch,corn maize northern leaf blight,1
stage6_mc,tarnished plant bug,alfalfa weevil,2
stage6_mc,tetradacus c bactrocera minax,alfalfa weevil,1
stage6_mc,therioaphis maculata buckton,alfalfa weevil,2
stage6_mc,thrips,alfalfa weevil,4
stage6_mc,thrips,rice gall midge,2
stage6_mc,tobacco healthy,arhar aphids,1
stage6_mc,tomato bacterial spot,corn maize northern leaf blight,4
stage6_mc,tomato early blight,corn maize northern leaf blight,4
stage6_mc,tomato healthy,corn maize northern leaf blight,4
stage6_mc,tomato healthy,arhar aphids,1
stage6_mc,tomato late blight,corn maize northern leaf blight,4
stage6_mc,tomato leaf bacterial spot,bell pepper leaf spot,3
stage6_mc,tomato leaf late blight,bell pepper leaf spot,1
stage6_mc,tomato leaf mold,corn maize northern leaf blight,3
stage6_mc,tomato mold leaf,bell pepper leaf spot,3
stage6_mc,tomato potassium deficiency,arhar aphids,1
stage6_mc,tomato septoria leaf spot,bell pepper leaf spot,2
stage6_mc,tomato septoria leaf spot,corn maize northern leaf blight,1
stage6_mc,tomato spider mites two spotted spider mite,corn maize northern leaf blight,2
stage6_mc,tomato target spot,corn maize northern leaf blight,2
stage6_mc,tomato tomato yellow leaf curl virus,corn maize northern leaf blight,11
stage6_mc,tungro virus,rice gall midge,7
stage6_mc,viteus vitifoliae,alfalfa weevil,1
stage6_mc,wheat blossom midge,alfalfa weevil,2
stage6_mc,wheat phloeothrips,alfalfa weevil,1
stage6_mc,wheat sawfly,alfalfa weevil,2
stage6_mc,white backed plant hopper,alfalfa weevil,1
stage6_mc,white margined moth,alfalfa weevil,2
stage6_mc,white spot,gray light,2
stage6_mc,wireworm,alfalfa weevil,1
stage6_mc,xylotrechus,alfalfa weevil,2
stage6_mc,yellow cutworm,alfalfa weevil,1
stage6_mc,yellow rice borer,alfalfa weevil,1
stage6_mc,yellow sigatoka,black sigatoka,2
