run,reference,prediction,count
stage7_label_only_classification,soybean healthy,peach bacterial spot,12
stage7_label_only_classification,squash powdery mildew,peach bacterial spot,2
stage7_label_only_classification,squash powdery mildew leaf,peach leaf,2
stage7_label_only_classification,strawberry healthy,peach bacterial spot,1
stage7_label_only_classification,strawberry leaf scorch,peach bacterial spot,1
stage7_label_only_classification,tarnished plant bug,aphids,2
stage7_label_only_classification,tetradacus c bactrocera minax,aphids,1
stage7_label_only_classification,therioaphis maculata buckton,aphids,2
stage7_label_only_classification,thrips,aphids,4
stage7_label_only_classification,thrips,to spot,2
stage7_label_only_classification,tobacco healthy,aphids,1
stage7_label_only_classification,tomato bacterial spot,peach bacterial spot,4
stage7_label_only_classification,tomato early blight,peach bacterial spot,4
stage7_label_only_classification,tomato healthy,peach bacterial spot,4
stage7_label_only_classification,tomato healthy,aphids,1
stage7_label_only_classification,tomato late blight,peach bacterial spot,4
stage7_label_only_classification,tomato leaf bacterial spot,peach leaf,3
stage7_label_only_classification,tomato leaf late blight,peach leaf,1
stage7_label_only_classification,tomato leaf mold,peach bacterial spot,3
stage7_label_only_classification,tomato mold leaf,peach leaf,3
stage7_label_only_classification,tomato potassium deficiency,aphids,1
stage7_label_only_classification,tomato septoria leaf spot,peach leaf,2
stage7_label_only_classification,tomato septoria leaf spot,peach bacterial spot,1
stage7_label_only_classification,tomato spider mites two spotted spider mite,peach bacterial spot,2
stage7_label_only_classification,tomato target spot,peach bacterial spot,2
stage7_label_only_classification,tomato tomato yellow leaf curl virus,peach bacterial spot,11
stage7_label_only_classification,tungro virus,to spot,7
stage7_label_only_classification,viteus vitifoliae,aphids,1
stage7_label_only_classification,wheat blossom midge,aphids,2
stage7_label_only_classification,wheat phloeothrips,aphids,1
stage7_label_only_classification,wheat sawfly,aphids,2
stage7_label_only_classification,white backed plant hopper,aphids,1
stage7_label_only_classification,white margined moth,aphids,2
stage7_label_only_classification,white spot,to spot,2
stage7_label_only_classification,wireworm,aphids,1
stage7_label_only_classification,xylotrechus,aphids,2
stage7_label_only_classification,yellow cutworm,aphids,1
stage7_label_only_classification,yellow rice borer,aphids,1
stage7_label_only_classification,yellow sigatoka,to spot,2
