run,label,support,precision,recall,f1
stage5,tarnished plant bug,2,0.0,0.0,0.0
stage5,tetradacus c bactrocera minax,1,0.0,0.0,0.0
stage5,therioaphis maculata buckton,2,0.0,0.0,0.0
stage5,thrips,6,0.0,0.0,0.0
stage5,tobacco healthy,1,0.0,0.0,0.0
stage5,tomato bacterial spot,4,0.0,0.0,0.0
stage5,tomato early blight,4,0.0,0.0,0.0
stage5,tomato healthy,5,0.0,0.0,0.0
stage5,tomato late blight,4,0.0,0.0,0.0
stage5,tomato leaf bacterial spot,3,0.0,0.0,0.0
stage5,tomato leaf late blight,1,0.0,0.0,0.0
stage5,tomato leaf mold,3,0.0,0.0,0.0
stage5,tomato mold leaf,3,0.0,0.0,0.0
stage5,tomato potassium deficiency,1,0.0,0.0,0.0
stage5,tomato septoria leaf spot,3,0.0,0.0,0.0
stage5,tomato spider mites two spotted spider mite,2,0.0,0.0,0.0
stage5,tomato target spot,2,0.0,0.0,0.0
stage5,tomato tomato yellow leaf curl virus,11,0.0,0.0,0.0
stage5,tungro virus,7,0.0,0.0,0.0
stage5,viteus vitifoliae,1,0.0,0.0,0.0
stage5,wheat blossom midge,2,0.0,0.0,0.0
stage5,wheat phloeothrips,1,0.0,0.0,0.0
stage5,wheat sawfly,2,0.0,0.0,0.0
stage5,white backed plant hopper,1,0.0,0.0,0.0
stage5,white margined moth,2,0.0,0.0,0.0
stage5,white spot,2,0.0,0.0,0.0
stage5,wireworm,1,0.0,0.0,0.0
stage5,xylotrechus,2,0.0,0.0,0.0
stage5,yellow cutworm,1,0.0,0.0,0.0
stage5,yellow rice borer,1,0.0,0.0,0.0
stage5,yellow sigatoka,2,0.0,0.0,0.0
